country,capital,capital:de,capital:es,capital:fr,capital:nb,capital:cs,capital:ru,capital:nl,capital:sv,capital:pt,capital:zh,capital:pl,capital:it,capital:da,capital:el
Netherlands,Amsterdam,Amsterdam,Ámsterdam,Amsterdam,Amsterdam,Amsterdam,Амстердам,Amsterdam,Amsterdam,"Amsterdã (BR), Amsterdão (PT)",阿姆斯特丹(Amsterdam),Amsterdam,Amsterdam,Amsterdam,Άμστερνταμ
Norway,Oslo,Oslo,Oslo,Oslo,Oslo,Oslo,Осло,Oslo,Oslo,Oslo,奥斯陆(Oslo),Oslo,Oslo,Oslo,Όσλο
Poland,Warsaw,Warschau,Varsovia,Varsovie,Warszawa,Varšava,Варшава,Warschau,Warszawa,Varsóvia,华沙(Warsaw),Warszawa,Varsavia,Warszawa,Βαρσοβία
Portugal,Lisbon,Lissabon,Lisboa,Lisbonne,Lisboa,Lisabon,Лиссабон,Lissabon,Lissabon,Lisboa,里斯本(Lisbon),Lizbona,Lisbona,Lissabon,Λισαβόνα
Romania,Bucharest,Bukarest,Bucarest,Bucarest,Bucuresti,Bukurešť,Бухарест,Boekarest,Bukarest,Bucareste,布加勒斯特(Bucharest),Bukareszt,Bucarest,Bukarest,Βουκουρέστι
Russia,Moscow,Moskau,Moscú,Moscou,Moskva,Moskva,Москва,Moskou,Moskva,"Moscou (BR), Moscovo (PT)",莫斯科(Moscow),Moskwa,Mosca,Moskva,Μόσχα
San Marino,City of San Marino,Stadt San Marino,San Marino,Ville de Saint-Marin,San Marino by,San Marino,Сан-Марино,San Marino,San Marino,São Marinho,圣马力诺市(City of San Marino),San Marino,Città di San Marino,San Marino,Πόλη του Αγίου Μαρίνου
Serbia,Belgrade,Belgrad,Belgrado,Belgrade,Beograd,Bělehrad,Белград,Belgrado,Belgrad,Belgrado,贝尔格莱德(Belgrade),Belgrad,Belgrado,Beograd,Βελιγράδι
Slovakia,Bratislava,Bratislava,Bratislava,Bratislava,Bratislava,Bratislava,Братислава,Bratislava,Bratislava,Bratislava,布拉迪斯拉发(Bratislava),Bratysława,Bratislava,Bratislava,Μπρατισλάβα
Slovenia,Ljubljana,Ljubljana,Liubliana,Ljubljana,Ljubljana,Lublaň,Любляна,Ljubljana,Ljubljana,Liubliana,卢布尔雅那(Ljubljana),Lublana,Lubiana,Ljubljana,Λιουμπλιάνα
Spain,Madrid,Madrid,Madrid,Madrid,Madrid,Madrid,Мадрид,Madrid,Madrid,"Madri (BR), Madrid (PT)",马德里(Madrid),Madryt,Madrid,Madrid,Μαδρίτη
Sweden,Stockholm,Stockholm,Estocolmo,Stockholm,Stockholm,Stockholm,Стокгольм,Stockholm,Stockholm,Estocolmo,斯德哥尔摩(Stockholm),Sztokholm,Stoccolma,Stockholm,Στοκχόλμη
Switzerland,Bern,Bern,Berna,Berne,Bern,Bern,Берн,Bern,Bern,Berna,伯尔尼(Bern),Berno,Berna,Bern,Βέρνη
Turkey,Ankara,Ankara,Ankara,Ankara,Ankara,Ankara,Анкара,Ankara,Ankara,Ancara,安卡拉(Ankara),Ankara,Ankara,Ankara,Άγκυρα
Ukraine,Kyiv,Kiew,Kiev,Kiev,Kiev,Kyjev,Киев,Kiev,Kiev,Quieve,基辅(Kyiv),Kijów,Kiev,Kyiv,Κίεβο
Vatican City,Vatican City,Vatikanstadt,Ciudad del Vaticano,Vatican,Vatikanstaten,Vatikán,Ватикан,Vaticaanstad,Vatikanstaden,Vaticano,梵蒂冈城(Vatican City),Watykan,Città del Vaticano,Vatikanstaten,Πόλη του Βατικανού
Armenia,Yerevan,Jerewan,Ereván,Erevan,Jerevan,Jerevan,Ереван,Jerevan,Jerevan,Erevã,埃里温(Yerevan),Erywań,Erevan,Jerevan,Γερεβάν
Cyprus,Nicosia,Nikosia,Nicosia,Nicosie,Nikosia,Nikósie,Никосия,Nicosia,Nicosia,Nicósia,尼科西亚(Nicosia),Nikozja,Nicosia,Nicosia,Λευκωσία
Kazakhstan,Astana,Astana,Astaná,Astana,Astana,Astana,Астана,Astana,Astana,Astana,阿斯塔纳(Astana),Astana,Astana,Astana,Αστάνα
Egypt,Cairo,Kairo,El Cairo,Le Caire,Kairo,Káhira,Каир,Caïro,Kairo,Cairo,开罗(Cairo),Kair,Il Cairo,Cairo,Κάιρο
Algeria,Algiers,Algier,Argel,Alger,Alger,Alžír,Алжир,Algiers,Alger,Argel,阿尔及尔(Algiers),Algier,Algeri,Algier,Αλγέρι
Angola,Luanda,Luanda,Luanda,Luanda,Luanda,Luanda,Луанда,Luanda,Luanda,Luanda,罗安达(Luanda),Luanda,Luanda,Luanda,Λουάντα
Benin,Porto-Novo,Porto-Novo,Porto Novo,Porto-Novo,Porto-Novo,Porto Novo,Порто-Ново,Porto-Novo,Porto-Novo,Porto Novo,"波多诺伏(Porto-Novo, 也被称之为“新港”)",Porto-Novo,Porto-Novo,Porto Novo,Πόρτο-Νόβο
Botswana,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone,Габороне,Gaborone,Gaborone,Gaborone,哈博罗内(Gaborone),Gaborone,Gaborone,Gaborone,Γκαμπορόνε
Burkina Faso,Ouagadougou,Ouagadougou,Uagadugú,Ouagadougou,Ouagadougou,Ouagadougou,Уагадугу,Ouagadougou,Ouagadougou,Uagadugu,瓦加杜古(Ouagadougou),Wagadugu,Ouagadougou,Ouagadougou,Ουαγκαντούγκου
Cameroon,Yaoundé,Yaoundé,Yaundé,Yaoundé,Yaoundé,Yaoundé,Яунде,Yaoundé,Yaoundé,Iaundé,雅温得(Yaoundé),Jaunde,Yaoundé,Yaoundé,Γιαουντέ
Burundi,Gitega,Gitega,Guitega,Gitega,Gitega,Gitega,Гитега,Gitega,Gitega,Guitega,基特加(Gitega),Gitega,Gitega,Gitega,Γκιτέγκα
Cape Verde,Praia,Praia,Praia,Praia,Praia,Praia,Прая,Praia,Praia,Praia,普拉亚(Praia),Praia,Praia,Praia,"Πράγια "
São Tomé and Príncipe,São Tomé,São Tomé,Santo Tomé,São Tomé,São Tomé,São Tomé,Сан-Томе,Sao Tomé,São Tomé,São Tomé,圣多美(São Tomé),São Tomé,São Tomé,São Tomé,Σάο Τομέ
Central African Republic,Bangui,Bangui,Bangui,Bangui,Bangui,Bangui,Банги,Bangui,Bangui,Bangui,班吉(Bangui),Bangi,Bangui,Bangui,Μπανγκί
Chad,N'Djamena,N’Djamena,Yamena,N'Djaména,Ndjamena,N'Djamena,Нджамена,Ndjamena,N'Djamena,Jamena,恩贾梅纳(N'Djamena),Ndżamena,N'Djamena,Ndjamena,Ντζαμένα
Equatorial Guinea,Malabo,Malabo,Malabo,Malabo,Malabo,Malabo,Малабо,Malabo,Malabo,Malabo,马拉博(Malabo),Malabo,Malabo,Malabo,Μαλάμπο
Kenya,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Найроби,Nairobi,Nairobi,Nairóbi,内罗毕(Nairobi),Nairobi,Nairobi,Nairobi,Ναϊρόμπι
Comoros,Moroni,Moroni,Moroni,Moroni,Moroni,Moroni,Морони,Moroni,Moroni,Moroni,莫罗尼(Moroni),Moroni,Moroni,Moroni,Μορονί
Ivory Coast,Yamoussoukro,Yamoussoukro,Yamusukro,Yamoussoukro,Yamoussoukro,Yamoussoukro,Ямусукро,Yamoussoukro,Yamoussoukro,Iamussucro,亚穆苏克罗(Yamoussoukro),Jamusukro,Yamoussoukro,Yamoussoukro,Γιαμουσούκρο
Democratic Republic of the Congo,Kinshasa,Kinshasa,Kinsasa,Kinshasa,Kinshasa,Kinshasa,Киншаса,Kinshasa,Kinshasa,Quinxassa,金沙萨(Kinshasa),Kinszasa,Kinshasa,Kinshasa,Κινσάσα
Djibouti,Djibouti,Dschibuti,Yibuti,Djibouti,Djibouti,Džibuti,Джибути,Djibouti,Djibouti,"Djibuti (BR), Jibuti (PT)",吉布提(Djibouti),Dżibuti,Gibuti,Djibouti,Πόλη του Τζιμπουτί
Guinea-Bissau,Bissau,Bissau,Bisáu,Bissau,Bissau,Bissau,Бисау,Bissau,Bissau,Bissau,比绍(Bissau),Bissau,Bissau,Bissau,Μπισάου
Eritrea,Asmara,Asmara,Asmara,Asmara,Asmara,Asmara,Асмэра,Asmara,Asmara,Asmara,阿斯马拉(Asmara),Asmara,Asmara,Asmara,Ασμάρα
Ethiopia,Addis Ababa,Addis Abeba,Adís Abeba,Addis-Abeba,Addis Abeba,Addis Abeba,Аддис-Абеба,Addis Abeba,Addis Abeba,Adis Abeba,亚的斯亚贝巴(Addis Ababa),Addis Abeba,Addis Abeba,Addis Abeba,Αντίς Αμπέμπα
Gabon,Libreville,Libreville,Libreville,Libreville,Libreville,Libreville,Либревиль,Libreville,Libreville,Librevile,利伯维尔(Libreville),Libreville,Libreville,Libreville,Λιμπρεβίλ
The Gambia,Banjul,Banjul,Banjul,Banjul,Banjul,Banjul,Банджул,Banjul,Banjul,Banjul,班珠尔(Banjul),Bandżul,Banjul,Banjul,Μπαντζούλ
Lesotho,Maseru,Maseru,Maseru,Maseru,Maseru,Maseru,Масеру,Maseru,Maseru,Maseru,马塞卢(Maseru),Maseru,Maseru,Maseru,Μαζέρου
Liberia,Monrovia,Monrovia,Monrovia,Monrovia,Monrovia,Monrovia,Монровия,Monrovia,Monrovia,Monróvia,蒙罗维亚(Monrovia),Monrovia,Monrovia,Monrovia,Μονρόβια
Madagascar,Antananarivo,Antananarivo,Antananarivo,Antananarivo,Antananarivo,Antananarivo,Антананариву,Antananarivo,Antananarivo,Antananarivo,塔那那利佛(Antananarivo),Antananarywa,Antananarivo,Antananarivo,Ανταναναρίβο
Malawi,Lilongwe,Lilongwe,Lilongüe,Lilongwe,Lilongwe,Lilongwe,Лилонгве,Lilongwe,Lilongwe,Lilongué,利隆圭(Lilongwe),Lilongwe,Lilongwe,Lilongwe,Λιλόνγκουε
Mali,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Бамако,Bamako,Bamako,Bamaco,巴马科(Bamako),Bamako,Bamako,Bamako,Μπαμακό
Mauritania,Nouakchott,Nouakchott,Nuakchot,Nouakchott,Nouakchott,Nuakšott,Нуакшот,Nouakchott,Nouakchott,Nuaquexote,努瓦克肖特(Nouakchott),Nawakszut,Nouakchott,Nouakchott,Νουακσότ
Mauritius,Port Louis,Port Louis,Port Louis,Port-Louis,Port Louis,Port Louis,Порт-Луи,Port Louis,Port Louis,Porto Luís,路易港(Port Louis),Port Louis,Port Louis,Port Louis,Πορ-Λουί
Morocco,Rabat,Rabat,Rabat,Rabat,Rabat,Rabat,Рабат,Rabat,Rabat,Rabate,拉巴特(Rabat),Rabat,Rabat,Rabat,Ραμπάτ
Mozambique,Maputo,Maputo,Maputo,Maputo,Maputo,Maputo,Мапуту,Maputo,Maputo,Maputo,马普托(Maputo),Maputo,Maputo,Maputo,Μαπούτο
Namibia,Windhoek,Windhoek,Windhoek,Windhoek,Windhoek,Windhoek,Виндхук,Windhoek,Windhoek,Vinduque,温得和克(Windhoek),Windhuk,Windhoek,Windhoek,Βίντχουκ
Niger,Niamey,Niamey,Niamey,Niamey,Niamey,Niamey,Ниамей,Niamey,Niamey,Niamei,尼亚美(Niamey),Niamey,Niamey,Niamey,Νιαμέ
Nigeria,Abuja,Abuja,Abuya,Abuja,Abuja,Abuja,Абуджа,Abuja,Abuja,Abuja,阿布贾(Abuja),Abudża,Abuja,Abuja,Αμπούτζα
Republic of the Congo,Brazzaville,Brazzaville,Brazzaville,Brazzaville,Brazzaville,Brazzaville,Браззавиль,Brazzaville,Brazzaville,Brazavile,布拉柴维尔(Brazzaville),Brazzaville,Brazzaville,Brazzaville,Μπραζαβίλ
Rwanda,Kigali,Kigali,Kigali,Kigali,Kigali,Kigali,Кигали,Kigali,Kigali,Quigali,基加利(Kigali),Kigali,Kigali,Kigali,Κιγκάλι
Senegal,Dakar,Dakar,Dakar,Dakar,Dakar,Dakar,Дакар,Dakar,Dakar,Dacar,达喀尔(Dakar),Dakar,Dakar,Dakar,Ντακάρ
Seychelles,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Виктория,Victoria,Victoria,Vitória,维多利亚(Victoria),Victoria,Victoria,Victoria,Βικτώρια
Sierra Leone,Freetown,Freetown,Freetown,Freetown,Freetown,Freetown,Фритаун,Freetown,Freetown,Freetown,弗里敦(Freetown),Freetown,Freetown,Freetown,Φρίταουν
South Africa,"Pretoria, Cape Town, Bloemfontein","Pretoria, Kapstadt, Bloemfontein","Pretoria, Ciudad del Cabo, Bloemfontein","Pretoria, Le Cap, Bloemfontein","Pretoria, Cape Town, Bloemfontein","Pretorie, Kapské Město, Bloemfontein","Претория, Кейптаун, Блумфонтейн","Pretoria, Kaapstad, Bloemfontein","Pretoria, Kapstaden, Bloemfontein","Pretória, Cidade do Cabo, Blumefontaina",比勒陀利亚(Pretoria)、开普敦(Cape Town)、布隆方丹(Bloemfontein),"Pretoria, Kapsztad, Bloemfontein","Pretoria, Città del Capo, Bloemfontein","Pretoria, Cape Town, Bloemfontein","Πρετόρια, Κέιπ Τάουν, Μπλουμφοντέιν"
Sudan,Khartoum,Khartum,Jartum,Khartoum,Khartoum,Chartúm,Хартум,Khartoem,Khartoum,Cartum,喀土穆(Khartoum),Chartum,Khartum,Khartoum,Χαρτούμ
Eswatini,Mbabane,Mbabane,Mbabane,Mbabane,Mbabane,Mbabane,Мбабане,Mbabane,Mbabane,Mebabane,姆巴巴内(Mbabane),Mbabane,Mbabane,Mbabane,Μπαμπάνε
Tanzania,Dodoma,Dodoma,Dodoma,Dodoma,Dodoma,Dodoma,Додома,Dodoma,Dodoma,Dodoma,多多马(Dodoma),Dodoma,Dodoma,Dodoma,Ντοντόμα
Togo,Lomé,Lomé,Lomé,Lomé,Lomé,Lomé,Ломе,Lomé,Lomé,Lomé,洛美(Lomé),Lomé,Lomé,Lomé,Λομέ
Tunisia,Tunis,Tunis,Túnez,Tunis,Tunis,Tunis,Тунис,Tunis,Tunis,Tunes,突尼斯(Tunis),Tunis,Tunisi,Tunis,Τύνιδα
Uganda,Kampala,Kampala,Kampala,Kampala,Kampala,Kampala,Кампала,Kampala,Kampala,Campala,坎帕拉(Kampala),Kampala,Kampala,Kampala,Καμπάλα
Sahrawi Arab Democratic Republic,Laayoune,El Aaiún,El Aaiún,Laâyoune,El Aaiún,Al-´Ajún,Эль-Аюн,al-Ajoen,al-Ayun,Laiune,阿尤恩(Laayoune),Al-Ujun,El Aaiún,El Aaiun,Λααγιούν
Zambia,Lusaka,Lusaka,Lusaka,Lusaka,Lusaka,Lusaka,Лусака,Lusaka,Lusaka,Lusaca,卢萨卡(Lusaka),Lusaka,Lusaka,Lusaka,Λουσάκα
Zimbabwe,Harare,Harare,Harare,Harare,Harare,Harare,Хараре,Harare,Harare,Harare,哈拉雷(Harare),Harare,Harare,Harare,Χαράρε
Afghanistan,Kabul,Kabul,Kabul,Kaboul,Kabul,Kábul,Кабул,Kabul,Kabul,Cabul,喀布尔(Kabul),Kabul,Kabul,Kabul,Καμπούλ
Bahrain,Manama,Manama,Manama,Manama,Manama,Manáma,Манама,Manama,Manama,Manama,麦纳麦(Manama),Manama,Manama,Manama,Μανάμα
Bangladesh,Dhaka,Dhaka,Daca,Dacca,Dhaka,Dháka,Дакка,Dhaka,Dhaka,Daca,达卡(Dhaka),Dhaka,Dacca,Dhaka,Ντάκα
Bhutan,Thimphu,Thimphu,Timbu,Thimphou,Thimpu,Thimbú,Тхимпху,Thimphu,Thimphu,Timbu,廷布(Thimphu),Thimphu,Thimphu,Timphu,Τιμπού
Brunei,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Бандар-Сери-Бегаван,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begauã,斯里巴加湾市(Bandar Seri Begawan),Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Μπαντάρ Σερί Μπεγκαβάν
China,Beijing,Peking,Pekín,Pékin,Beijing,Peking,Пекин,Peking,Peking,Pequim,北京(Beijing),Pekin,Pechino,Beijing,Πεκίνο
Cambodia,Phnom Penh,Phnom Penh,Nom Pen,Phnom Penh,Phnom Penh,Phnompenh,Пномпень,Phnom Penh,Phnom Penh,Penome Pene,金边(Phnom Penh),Phnom Penh,Phnom Penh,Phnom Penh,Πνομ Πεν
Indonesia,Jakarta,Jakarta,Yakarta,Jakarta,Jakarta,Jakarta,Джакарта,Jakarta,Jakarta,Jacarta,雅加达(Jakarta),Dżakarta,Giacarta,Djakarta,Τζακάρτα
India,New Delhi,Neu-Delhi,Nueva Delhi,New Delhi,New Delhi,Nové Dillí,Нью-Дели,New Delhi,New Delhi,Nova Deli,新德里(New Delhi),Nowe Delhi,Nuova Delhi,New Delhi,Νέο Δελχί
Iran,Tehran,Teheran,Teherán,Téhéran,Teheran,Teherán,Тегеран,Teheran,Teheran,Teerão,德黑兰(Tehran),Teheran,Teheran,Teheran,Τεχεράνη
Israel,Jerusalem,Jerusalem,Jerusalén,Jérusalem,Jerusalem,Jeruzalém,Иерусалим,Jeruzalem,Jerusalem,Jerusalém,耶路撒冷(Jerusalem),Jerozolima,Gerusalemme,Jerusalem,Ιερουσαλήμ
Iraq,Baghdad,Bagdad,Bagdad,Bagdad,Bagdad,Bagdád,Багдад,Bagdad,Bagdad,"Bagdá (BR), Bagdade (PT)",巴格达(Baghdad),Bagdad,Baghdad,Bagdad,Βαγδάτη
South Korea,Seoul,Seoul,Seúl,Séoul,Seoul,Soul,Сеул,Seoel,Seoul,Seul,首尔(Seoul),Seul,Seul,Seoul,Σεούλ
North Korea,Pyongyang,Pjöngjang,Pionyang,Pyongyang,Pyongyang,Pchjongjang,Пхеньян,Pyongyang,Pyongyang,Pionguiangue,平壤(Pyongyang),Pjongjang,Pyongyang,Pyongyang,Πιονγιάνγκ
Jordan,Amman,Amman,Amán,Amman,Amman,Ammán,Амман,Amman,Amman,Amã,安曼(Amman),Amman,Amman,Amman,Αμμάν
Japan,Tokyo,Tokio,Tokio,Tokyo,Tokyo,Tokio,Токио,Tokio,Tokyo,Tóquio,东京(Tokyo),Tokio,Tokyo,Tokyo,Τόκιο
Lebanon,Beirut,Beirut,Beirut,Beyrouth,Beirut,Bejrút,Бейрут,Beiroet,Beirut,Beirute,贝鲁特(Beirut),Bejrut,Beirut,Beirut,Βηρυτός
Laos,Vientiane,Vientiane,Vientián,Vientiane,Vientiane,Vientiane,Вьентьян,Vientiane,Vientiane,Vienciana,万象(Vientiane),Wientian,Vientiane,Vientiane,Βιεντιάν
Kyrgyzstan,Bishkek,Bischkek,Biskek,Bichkek,Bisjkek,Biškek,Бишкек,Bisjkek,Bisjkek,Bisqueque,比什凯克(Bishkek),Biszkek,Biškek,Bisjkek,Μπισκέκ
Kuwait,Kuwait City,Kuwait-Stadt,Kuwait,Koweït,Kuwait by,Kuvajt,Эль-Кувейт,Koeweit,Kuwait,Kuwait,科威特城(Kuwait City),Kuwejt,Al Kuwait,Kuwait,Πόλη του Κουβέιτ
Myanmar,Naypyidaw,Naypyidaw,Naipyidó,Naypyidaw,Naypyidaw,Neipyijto,Нейпьидо,Naypyidaw,Naypyidaw,Nepiedó,内比都(Naypyidaw),Naypyidaw,Naypyidaw,Naypyidaw,Νέπιντο
Mongolia,Ulaanbaatar,Ulaanbaatar,Ulán Bator,Oulan-Bator,Ulaanbaatar,Ulánbátar,Улан-Батор,Ulaanbaatar,Ulan Bator,Ulã Bator,乌兰巴托(Ulaanbaatar),Ułan Bator,Ulan Bator,Ulan Bator,Ουλάν Μπατόρ
Maldives,Malé,Malé,Malé,Malé,Malé,Male,Мале,Malé,Malé,Malé,马累(Malé),Male,Malé,Malé,Μαλέ
Malaysia,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Куала-Лумпур,Kuala Lumpur,Kuala Lumpur,Quala Lumpur,吉隆坡(Kuala Lumpur),Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Κουάλα Λουμπούρ
Oman,Muscat,Maskat,Mascate,Mascate,Muscat,Maskat,Маскат,Masqat,Muskat,Mascate,马斯喀特(Muscat),Muskat,Mascate,Muscat,Μουσκάτ
